Date,Home Team,Home Score,Away Team,Away Score
2018-11-06,Gainesville,46,Ava,83
2018-11-16,McKinley Classical Leadership,69,Cleveland NJROTC,44
2018-11-16,Smithton,64,Concordia,68
2018-11-16,Lockwood,55,Dadeville,64
2018-11-16,Iberia,54,Eugene,52
2018-11-16,St. Louis College Prep,66,Gateway Science Charter,34
2018-11-16,Weaubleau,47,Lakeland,66
2018-11-16,Bishop DuBourg,55,Lutheran St. Charles,42
2018-11-16,Newburg,46,New Bloomfield,40
2018-11-16,Spokane,44,New Covenant Academy,56
2018-11-16,DeSoto,67,Northwest (Cedar Hill),52
2018-11-16,Collegiate School of Med-Bio Science with Central Visual and Performing Arts,29,Roosevelt,76
2018-11-16,Laquey,52,Russellville,28
2018-11-16,Leeton,33,Sacred Heart,65
2018-11-16,Missouri Military Academy,42,Silex,28
2018-11-16,Prairie Home,33,Slater,80
2018-11-16,Norwood,49,Sparta,41
2018-11-16,Marshall,66,St. Paul Lutheran (Concordia),64
2018-11-16,Cuba,28,Sullivan,78
2018-11-16,Elsberry,56,Winfield,44
2018-11-17,Stoutland,64,Chamois,70
2018-11-17,St. Paul Lutheran (Farmington),50,Cooter,88
2018-11-17,Tuscumbia,31,Crocker,26
2018-11-17,Linn,72,Dixon,78
2018-11-17,Iberia,54,Eugene,52
2018-11-17,Plato,60,Fatima,93
2018-11-17,Metro,37,Gateway,98
2018-11-17,Meadville,68,Glasgow,59
2018-11-17,Ellington,61,Houston,39
2018-11-17,New Franklin,33,La Plata,30
2018-11-17,St. Elizabeth,58,Licking,80
2018-11-17,Sumner,23,Miller Career Academy,77
2018-11-17,Valley,69,Puxico,66
2018-11-17,South Callaway,55,Richland,62
2018-11-17,Salem,36,Rolla,68
2018-11-17,Hallsville,75,Sturgeon,69
2018-11-17,Carnahan,68,Transportation and Law,51
2018-11-17,Soldan International Studies,59,Vashon,78
2018-11-19,South Iron,94,Bismarck,35
2018-11-19,Newtown-Harris,52,Breckenridge,14
2018-11-19,Wheatland,65,Bronaugh,45
2018-11-19,Lesterville,81,Clearwater,77
2018-11-19,Frontier STEM,63,Cristo Rey,50
2018-11-19,Linn,61,Eldon,43
2018-11-19,West County,62,Ellington,72
2018-11-19,Missouri Military Academy,60,Elsberry,59
2018-11-19,Thomas Jefferson Independent Day,69,Exeter,29
2018-11-19,Crest Ridge,76,Green Ridge,57
2018-11-19,Everton,89,Greenfield,85
2018-11-19,Brunswick,64,Hardin-Central,24
